user_id,gender,age,condition,region,join_date,is_active
user_0001,Female,38,Premium,Latin America,2023-06-19,true
user_0002,Female,46,Premium,North America,2022-03-22,true
user_0003,Female,21,Free,Latin America,2023-08-24,true
user_0004,Female,46,Free,Asia Pacific,2023-06-13,true
user_0005,Other,29,Premium,Europe,2022-05-15,true
user_0006,Male,35,Free,North America,2022-08-30,true
user_0007,Female,28,Trial,Europe,2023-02-14,false
user_0008,Male,42,Enterprise,North America,2022-11-07,true
user_0009,Female,33,Free,Asia Pacific,2023-01-18,true
user_0010,Male,27,Premium,Europe,2022-12-03,true
user_0011,Female,39,Free,North America,2023-04-21,true
user_0012,Male,31,Trial,Asia Pacific,2023-07-09,true
user_0013,Female,45,Premium,Europe,2022-06-26,false
user_0014,Male,25,Free,North America,2023-09-12,true
user_0015,Other,52,Enterprise,Europe,2022-02-18,true
user_0016,Female,34,Premium,Asia Pacific,2023-05-07,true
user_0017,Male,29,Free,North America,2022-10-15,true
user_0018,Female,41,Trial,Latin America,2023-03-28,false
user_0019,Male,36,Premium,Europe,2022-07-11,true
user_0020,Female,30,Free,Asia Pacific,2023-06-02,true
user_0021,Male,48,Enterprise,North America,2022-04-14,true
user_0022,Female,26,Premium,Europe,2023-08-19,true
user_0023,Male,37,Free,Asia Pacific,2022-09-25,false
user_0024,Other,43,Trial,Latin America,2023-01-06,true
user_0025,Female,32,Premium,North America,2022-12-21,true
user_0026,Male,28,Free,Europe,2023-05-16,true
user_0027,Female,44,Enterprise,Asia Pacific,2022-03-09,true
user_0028,Male,24,Premium,North America,2023-07-04,false
user_0029,Female,38,Free,Latin America,2022-11-17,true
user_0030,Male,31,Trial,Europe,2023-02-23,true
user_0031,Female,47,Premium,Asia Pacific,2022-08-06,true
user_0032,Male,26,Free,North America,2023-04-12,true
user_0033,Other,35,Enterprise,Europe,2022-06-28,false
user_0034,Female,29,Premium,Latin America,2023-09-14,true
user_0035,Male,40,Free,Asia Pacific,2022-01-31,true
user_0036,Female,33,Trial,North America,2023-08-07,true
user_0037,Male,27,Premium,Europe,2022-10-20,true
user_0038,Female,42,Free,Asia Pacific,2023-03-15,false
user_0039,Male,36,Enterprise,Latin America,2022-05-03,true
user_0040,Female,30,Premium,North America,2023-06-25,true
user_0041,Male,45,Free,Europe,2022-12-08,true
user_0042,Other,28,Trial,Asia Pacific,2023-01-21,true
user_0043,Female,34,Premium,North America,2022-04-16,false
user_0044,Male,39,Free,Latin America,2023-07-29,true
user_0045,Female,25,Enterprise,Europe,2022-09-11,true
user_0046,Male,32,Premium,Asia Pacific,2023-02-05,true
user_0047,Female,41,Free,North America,2022-11-23,true
user_0048,Male,29,Trial,Europe,2023-05-08,false
user_0049,Female,37,Premium,Latin America,2022-07-14,true
user_0050,Male,31,Free,Asia Pacific,2023-08-26,true
user_0051,Other,46,Enterprise,North America,2022-02-07,true
user_0052,Female,27,Premium,Europe,2023-04-19,true
user_0053,Male,35,Free,Asia Pacific,2022-06-01,false
user_0054,Female,40,Trial,Latin America,2023-09-13,true
user_0055,Male,24,Premium,North America,2022-03-27,true
